Título,Precio,Categoría,Fecha de lanzamiento,Descripción
,,,Fecha no disponible,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
Gemini,"1,99 €*","• Acción, Aventura, Estrategia",18-02-2021,"Gemini is an action game in defense of the tower, where your objective is to protect the crystal while staying alive."
RASPBERRY MASH,"13,99 €*","• Acción, Disparos (Shooter), Otros",18-02-2021,"Fantasy, weapons, violence! ""Roguelike game"" in pixel art."
Arcade Archives CYBATTLER,"6,99 €*","• Acción, Arcade, Disparos (Shooter)",18-02-2021,The very foundations of space will shake...
Void Gore,"4,99 €*","• Acción, Arcade, Disparos (Shooter)",17-02-2021,¡Ábrete camino a disparos por los niveles interminables del infierno!
Ace Invaders,"9,90 €4,95 €*","• Acción, Arcade, Disparos (Shooter), Lucha",17-02-2021,GALAXY GUARDIANS SURRENDER IS NOT AN OPTION!
SNK VS. CAPCOM: THE MATCH OF THE MILLENNIUM,"7,99 €*",• Lucha,17-02-2021,"Lanzado originalmente en el NEOGEO POCKET COLOR en el año 1999, ¡SNK VS. CAPCOM: THE MATCH OF THE MILLENNIUM llega al Nintendo Switch!"
BRUTAL RAGE,"6,99 €*","• Acción, Arcade, Lucha",16-02-2021,
#DRIVE,"11,00 €*","• Arcade, Carreras, Simulación",16-02-2021,#DRIVE - An Endless Driving Video Game
Burger Master,"4,99 €*","• Aventura, Estrategia, Puzle, Simulación",16-02-2021,
Escape Route,"1,99 €*","• Acción, Arcade, Plataformas, Puzle",15-02-2021,
Half Past Fate: Romantic Distancing,"4,99 €*","• Aventura, Puzle, Rol (RPG)",14-02-2021,Finding true love is hard enough when it’s in person.
Stealth,"4,16 €*","• Acción, Arcade, Puzle",13-02-2021,Rompecabezas con elementos de sigilo 100 niveles únicos Minimalismo Mundial
Free Throw Basketball,"3,99 €*","• Arcade, Deportes",13-02-2021,¿Tienes lo que hay que tener para convertirte en el mejor tirador de baloncesto del mundo? Este juego de tiros a canasta y mates desafiará tu precisión y habilidades con jugadores computarizados o con amigos y familias en el mismo dispositivo.
Super Mario 3D World + Bowser's Fury,"59,99 €*",• Plataformas,12-02-2021,¡Explora toda la diversión de Mario en compañía!
UltraGoodness 2,"4,99 €*","• Acción, Arcade, Disparos (Shooter)",12-02-2021,Ralentiza el tiempo para terminar con tus enemigos.
Halloween Forever,"8,99 €*","• Acción, Plataformas",12-02-2021,"Presentamos Halloween Forever, el único plataformas retro con calabazas que te transportará a épocas más fáciles."
Steamroll: Rustless Edition,"9,99 €*","• Aventura, Plataformas, Puzle",12-02-2021,Steamroll es un juego de aventuras y puzles con un toque de minigolf.
Gal*Gun Returns,"49,99 €*","• Acción, Acción en primera persona (FPS), Arcade, Aventura",12-02-2021,¡Vuelve el famoso juego de disparos subidito de tono!
Speedway Bundle Stock & Truck,"19,99 €*","• Arcade, Carreras, Deportes, Simulación",12-02-2021,Este pack incluye los juegos: Speedway Racing y Speedtruck Racing.
Negative: The Way of Shinobi,"4,99 €*","• Acción, Arcade, Aventura, Plataformas",11-02-2021,Ninja world and local enemies. Use your best skills to finish the story line. Are you ready to accept the challenge while failing a lot during the gameplay?
Aground,"12,29 €*","• Aventura, Rol (RPG), Simulación",11-02-2021,"¿Podrás fabricar, excavar y construir lo que necesitas para sobrevivir junto a las demás víctimas del accidente?"
UnderMine,"16,79 €*","• Acción, Aventura, Rol (RPG)",11-02-2021,¡Acompaña a los paisanos a explorar las profundidades de UnderMine y descubrir sus secretos!
Healer's Quest,"14,99 €*","• Aventura, Estrategia, Lucha, Rol (RPG)",11-02-2021,Healer’s Quest es un RPG de comedia en el que juegas con el miembro menos valorado de cualquier reino de fantasía: el Sanador.
ROMANCE OF THE THREE KINGDOMS XIV: Diplomacy and Strategy Expansion Pack Bundle,"69,99 €*","• Estrategia, Simulación",11-02-2021,"[Sobre el juego] ¡El Diplomacy and Strategy Expansion Pack para la última entrega de la serie, ""ROMANCE OF THE THREE KINGDOMS XIV"", ya está disponible! Te espera un mundo de estrategia totalmente nuevo."
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
,,,Fecha no disponible,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
Escape First 2,"4,99 €3,24 €*","• Acción en primera persona (FPS), Aventura, Puzle",11-02-2021,“Escape First 2” es un juego de rompecabezas - sala de fuga! Ello incluye 3 salas de fuga diferentes para seleccionar.
Persephone,"5,00 €*",• Puzle,11-02-2021,"Persephone es un juego de puzles que explora la siguiente posibilidad: ¿qué ocurre si la muerte no es el final, sino la clave para resolver los puzles?"
Arcade Archives THUNDER CROSS,"6,99 €*","• Arcade, Disparos (Shooter)",11-02-2021,Wipe out the Mechanikon hordes!
Knight's Retreat,"1,99 €*","• Estrategia, Puzle, Tablero",11-02-2021,A chess game without any chess. Rearrange your troops to bring your best Knights back to your Kingdom in an abstract medieval world.
Tri6: Infinite,"7,99 €*","• Acción, Arcade, Carreras, Deportes",11-02-2021,"Tri6: Infinite is a fast-paced endless runner in the Tri6 universe. Avoid the obstacles as long as possible, beat the top scores from other players and unlock new vehicles and powerups."
Little Nightmares II,"29,99 €*","• Aventura, Plataformas, Puzle",11-02-2021,¿Te atreves a enfrentarte a esta nueva serie de pequeñas pesadillas?
The Flower Collectors,"14,99 €*",• Aventura,11-02-2021,Una historia misteriosa ambientada en el polvorín político de Barcelona en 1977.
Summer Catchers,"9,99 €*","• Arcade, Aventura, Carreras",11-02-2021,A Mystical Driving Adventure
Choices That Matter: And Their Heroes Were Lost,"4,99 €*","• Aventura, Estrategia, Puzle",10-02-2021,Who are the other prisoners? What are they to you? Are they your allies... or enemies?
#SinucaAttack,"4,99 €*","• Acción, Plataformas, Puzle",10-02-2021,¡El billar se combina con las plataformas en este único juego de ingenio!
Hexagon Defense,"3,29 €*","• Acción, Arcade, Disparos (Shooter)",09-02-2021,"Rotar, disparar, repetir. Llevando la última innovación a la industria de los juegos de arcade."
Hero-U: Rogue to Redemption,"19,99 €*","• Acción, Aventura, Puzle, Rol (RPG)",09-02-2021,"Hero-U: Rogue to Redemption is a humorous fantasy role-playing adventure game by Lori and Corey Cole, creators of the acclaimed Quest for Glory series."
Contract Killers,"7,99 €*","• Acción, Arcade, Disparos (Shooter)",08-02-2021,"Fast paced top down shooter, you need to be fast and deadly, choose your character, pick new contract and go do some hunting!"
Urban Street Fighting,"3,99 €*","• Acción, Arcade, Lucha",06-02-2021,Encuentra la experiencia de lucha original con este juego de golpes duros.
Glittering Sword,"4,99 €*","• Acción, Puzle",05-02-2021,
Jumping Stack Ball,"3,99 €*","• Acción, Arcade, Puzle",05-02-2021,
Joker Poker - Video Poker,"4,99 €*","• Arcade, Estrategia, Simulación",05-02-2021,Enjoy the Casino Experience!
How to take off your Mask Remastered,"14,99 €*","• Aventura, Rol (RPG)",05-02-2021,¿Cuál es la verdad que se oculta bajo las máscaras?
Re:ZERO -Starting Life in Another World- The Prophecy of the Throne,"59,99 €*","• Aventura, Estrategia, Rol (RPG)",05-02-2021,"Seis candidatos, un impostor y una conspiración que tiene en vilo al reino entero…"
Haven,"24,99 €*",• Rol (RPG),2021,Dos amantes lo dejan todo y escapan a un remoto planeta para estar juntos. Para jugar en solitario o con ese alguien especial.
Blue Fire,"19,99 €*","• Acción, Aventura, Plataformas, Rol (RPG)",04-02-2021,Te espera un mundo tenebroso
Station Manager,"13,00 €*","• Otros, Puzle, Simulación",04-02-2021,¡Construye tu espectacular estación de varios niveles para tus trenes favoritos!
Flying Hero X,"9,99 €*","• Acción, Aventura, Deportes, Simulación",04-02-2021,¡Los unicornios malvados conquistaron la ciudad de Meow York! ¡Ya es hora de desatar tu verdadera habilidad de héroe y vengarte!
NUTS,"19,99 €*","• Aventura, Puzle, Simulación",04-02-2021,Espía a ardillas del bosque.
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
,,,Fecha no disponible,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
Blow Up Monsters,"1,99 €*","• Arcade, Aventura, Disparos (Shooter), Plataformas",04-02-2021,
Magical Maze,"1,99 €*","• Educativo, Plataformas, Puzle, Tablero",04-02-2021,
Bubble Bubble Ocean,"4,99 €*","• Acción, Arcade, Puzle",04-02-2021,Bubble Bubble Ocean es un adictivo juego de burbujas con 80 niveles de puzzles llenos de diversión! Cómo se juega: ¡Coge 3 burbujas para rescatar a los peces amables!
Super Meatball,"0,99 €*","• Carreras, Deportes, Fiesta",04-02-2021,Super Meatball is a phenomenon is animal planet. Team up with your friends and compete with your opponent. Race your car and get the meatball into the goal.
Binarystar Infinity,"4,99 €3,49 €*","• Arcade, Disparos (Shooter)",04-02-2021,"En el año estelar 2258.42, Talios, la principal luna de nuestro sistema, fue destruida por una nave espacial de origen desconocido."
Arcade Archives Ninja Kazan,"6,99 €*","• Acción, Arcade",04-02-2021,Ninja Kazan! Travel the world to recover the Scroll of the Five.
Grey Skies: A War of the Worlds Story,"14,99 €2,24 €*","• Acción, Aventura, Estrategia, Puzle",04-02-2021,"Encuentra conceptos emblemáticos como el humo negro, la hierba roja y, por supuesto, ¡la todopoderosa Máquina de combate y su rayo de calor!"
Odysseus Kosmos and his Robot Quest,"13,99 €*","• Aventura, Otros, Puzle",04-02-2021,Te damos la bienvenida a la nave científica San Francisco. Tripulación: 1 persona y 1 robot.
Football Cup 2021,"14,99 €*","• Arcade, Deportes, Football Fútbol, Simulación",04-02-2021,"¡Demuestra a los demás países quién tiene el mejor equipo del planeta, gana la copa de campeones y conviértete en una estrella del fútbol!"
Skyforge,"0,00 €*","• Acción, Aventura, Rol (RPG)",04-02-2021,Un universo de aventuras al alcance de tu mano
Byakko-tai Samurai Boys,"19,99 €*","• Aventura, Simulación",04-02-2021,"To live together, Open our destiny…"
Habroxia 2,"9,99 €*","• Acción, Arcade, Disparos (Shooter)",03-02-2021,¡Despega rumbo a una secuela que lleva al extremo todos los aspectos de un shoot'em up en 2D!
Cresteaju,"5,99 €*","• Aventura, Rol (RPG), Simulación",02-02-2021,This is a remastered version of a JRPG that was popular in the early days of the Internet in Japan. Battles take place in a voxel-shaped field.
Cultist Simulator: Initiate Edition,"19,99 €3,99 €*","• Estrategia, Puzle, Rol (RPG), Simulación",02-02-2021,Experiment. Die. Ascend. SEIZE FORBIDDEN TREASURES. SUMMON ALIEN GODS. FEED ON YOUR DISCIPLES.
Space Blast Zom A Matching Game,"7,99 €*","• Estrategia, Puzle",29-01-2021,Entra en un mundo completamente nuevo de Space Blast Zom: un juego a juego.
Silver Chains,"24,99 €*","• Acción, Aventura, Otros",29-01-2021,"Después de chocarse contra un árbol mientras conducía en una noche de tormenta, Peter se despierta en una vieja mansión abandonada de algún lugar de Inglaterra."
Turrican Flashback,"29,99 €*","• Acción, Arcade, Disparos (Shooter), Plataformas",29-01-2021,"¡Vuelve le legendaria serie de Turrican! Disfruta de 4 juegos de acción clásicos en esta colección pionera que te trae unos niveles gigantescos, una música impresionante y unos controles modernizados."
Vera Blanc: Ghost In The Castle,"4,99 €1,49 €*","• Aventura, Rol (RPG), Simulación",29-01-2021,¿Puedes ayudar a Vera a resolver su misterio más escalofriante y emocionante hasta ahora?
Burn! SuperTrucks,"7,99 €*","• Acción, Carreras, Deportes, Simulación",29-01-2021,Ser más rápido que tu propia sombra. Tus rivales tienen tu mismo ADN.
Cooking Festival,"9,99 €*","• Arcade, Aventura, Estrategia, Simulación",29-01-2021,Cooking Festival takes you to the tasty world of fantastic cuisine - let's cook!
Gods Will Fall,"14,99 €*","• Acción, Lucha",29-01-2021,Lucha o muere
Bonkies,"14,99 €2,99 €*","• Arcade, Fiesta, Puzle",29-01-2021,¡Animad! ¡Cooperad! ¡Construid! ¡Un alocado juego multijugador cooperativo con una pizca de construcción de edificios!
CROSSBOW: Bloodnight,"4,99 €*","• Acción, Acción en primera persona (FPS), Arcade, Disparos (Shooter)",29-01-2021,"Caza, muere, y vuelve a cazar. Domina este frenético juego de combate y disparos en primera persona ambientado en un mundo de terror y gore."
Caves and Castles: Underworld,"4,99 €*",• Puzle,29-01-2021,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
,,,Fecha no disponible,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
Atelier Ryza 2: Lost Legends & the Secret Fairy,"A partir de: 59,99 €*",• Rol (RPG),29-01-2021,"Aunque mis fuerzas flaqueen, estaré siempre a tu lado…"
Daylife in Japan - Animated Jigsaw Puzzle Series,"1,99 €0,99 €*","• Puzle, Tablero",28-01-2021,Daylife in Japan is a jigsaw puzzle game with animated pixel art instead of static images. Recreate beautiful moments about the daylife in Japan.
Arcade Archives HALLEY'S COMET,"6,99 €*","• Arcade, Disparos (Shooter)",28-01-2021,Halley's Comet is on a collision course with the Solar System! You've got to stop it!
G-MODE Archives29 ZANAC,"4,39 €3,07 €*",• Disparos (Shooter),28-01-2021,Excitement that makes your hands sweat! A sense of speed! The masterpiece shooter is back!
The Choice of Life: Middle Ages,"3,99 €0,99 €*","• Arcade, Aventura, Rol (RPG), Tablero",28-01-2021,"A card game in a Medieval setting where you make decisions on which not only your life will depend, but also the future of the kingdom!"
Golden Force,"9,99 €*","• Acción, Arcade, Aventura, Plataformas",28-01-2021,"Derrota a las fuerzas del mal junto a Gutz, Spina, Drago y Elder. ¡Diviértete con sus habilidades y movimientos propios en un viaje a través de Muscle Island!"
Sword of the Necromancer,"14,99 €*","• Acción, Aventura, Estrategia, Rol (RPG)",28-01-2021,Convierte a tus enemigos en aliados en este RPG de Acción con toques de Rogue-lite
Colossus Down,"17,99 €*","• Acción, Aventura",28-01-2021,"Únete a Nika, MechaNika, Agatha y el Gran Cerdo Sangrante en esta peculiar y alocada misión de destrucción de todo lo que no mola."
TOHU,"12,99 €*","• Aventura, Puzle",28-01-2021,Explora entornos preciosos y resuelve puzles complicados en un juego de aventuras ambientado en un universo de maravillosos planetas pez.
Olija,"14,99 €*","• Acción, Arcade, Aventura, Plataformas",28-01-2021,"Olija es un juego sobre la misión de Faraday, un hombre que ha naufragado y luego ha quedado atrapado en el misterioso país de Terrafagia."
Heaven's Vault,"15,99 €*","• Aventura, Puzle",28-01-2021,"An archaeological narrative adventure from the makers of ""80 Days"". Decipher an entire hieroglyphic language, sail the Nebula, find lost ruins and uncover a secret history."
Citizens Unite!: Earth x Space,"29,99 €*","• Aventura, Estrategia, Rol (RPG), Simulación",28-01-2021,¡Une a los Ciudadanos y salvad la línea temporal en una divertidísima aventura!
Disjunction,"15,99 €*","• Acción, Arcade, Disparos (Shooter), Rol (RPG)",28-01-2021,Experimenta la historia reactiva y entrelazada de tres personajes jugables e intenta desvelar verdades aciagas que cambiarán el destino de su ciudad para siempre.
Save Farty,"6,99 €*","• Educativo, Estilo de vida, Fiesta",28-01-2021,A fun quiz about a cute chick.
Royal Tower Defense,"7,99 €*","• Aventura, Educativo, Estrategia, Puzle",28-01-2021,Las tierras de los orcos se han expandido en las últimas décadas y han definido nuevas fronteras. Nuevas fronteras que están peligrosamente cerca de nosotros...
Strange Field Football,"6,99 €*","• Arcade, Deportes, Fiesta, Football Fútbol",28-01-2021,Strange Field Football is a 3D cartoon pixel style 5v5 football game with up to 4 local players.
Märchen Forest,"32,98 €*","• Acción, Aventura, Rol (RPG)",28-01-2021,Este es el cuento que narra la historia de una niña solitaria y su mágico periplo.
Escape 2088,"3,50 €2,27 €*","• Aventura, Puzle",28-01-2021,Escape 2088 es un juego de escape de la vieja escuela ambientado en un mundo futurista y cyberpunk.
SushiParty,"9,99 €*","• Acción, Arcade, Fiesta, Otros",28-01-2021,"In recent years, ""shrimp"" and ""tuna"" were fighting. The shrimp will defeat the tuna to save the galaxy! Sushi will save the galaxy!"
The Witcher 3: Wild Hunt,"39,99 €*","• Acción, Aventura, Rol (RPG)",28-01-2021,"TODO UN MUNDO PARA EXPLORAR. EN CASA Y EN CUALQUIER SITIO. Galardonado con más de 250 premios al juego del año, The Witcher 3: Wild Hunt es una aventura de mundo abierto basada en la narrativa y ambientada en un oscuro universo de fantasía."
Curve Racer,"1,99 €*","• Acción, Carreras, Deportes, Simulación",27-01-2021,
The Dark Eye: Chains of Satinav,"19,99 €*","• Aventura, Otros, Puzle",27-01-2021,¡Enfréntate a tu destino!
The Dark Eye: Memoria,"19,99 €*","• Aventura, Otros, Puzle",27-01-2021,"Dos tramas, dos héroes, una gran aventura"
Project Starship X,"9,99 €*","• Acción, Arcade, Disparos (Shooter)",27-01-2021,"¡Avanza, evade y pulveriza a tus enemigos en este shmup paródico protagonizado por Swagthulhu!"
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
,,,Fecha no disponible,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
Cyber Shadow,"19,99 €*","• Acción, Plataformas",26-01-2021,Solo tú puedes desbloquear los secretos de los ancestrales poderes de tu clan en el juego de acción ninja por excelencia.
Ziggy the Chaser,"7,99 €*","• Acción, Arcade, Aventura, Puzle",26-01-2021,Adventure game with lots of levels filled with pure fun! Collect all crystals in one area to proceed to another.
Zombie Apocalypse,"3,99 €*","• Acción, Acción en primera persona (FPS), Arcade",26-01-2021,
SOLAS 128,"14,99 €*","• Música, Puzle",25-01-2021,"Explore SOLAS 128, a game of interconnected puzzles where you redirect and reconfigure rhythmic pulses of light to breathe life back into an ancient machine."
Legend of Numbers,"2,99 €*","• Puzle, Tablero",23-01-2021,
The Unexpected Quest,"14,99 €2,24 €*","• Aventura, Estrategia, Otros, Puzle",23-01-2021,Adventure game with strategy and management elements in a medieval fantasy setting.
Seal Electric Railway,"3,09 €*","• Acción, Fiesta",23-01-2021,You are a new seal driver working in Antarctica. Tilt the Joy-Con™ to control the train for a new kind of electric train action!
Shark Copter vs. Zombie Dancers,"3,09 €*",• Acción,23-01-2021,"Zombie virus outbreak on the night of the festival! ""Shark Copter"" eats Bon Odori Zombies!"
Spaceship Curse,"3,09 €*","• Otros, Puzle",23-01-2021,This story is set in the universe. Escape from the Space Shuttle before being captured by a curse.
Battle for Blood,"3,99 €*","• Estrategia, Puzle, Tablero",23-01-2021,Epic battles within 30 seconds!
Gradiently,"4,99 €*","• Educativo, Estrategia, Puzle",22-01-2021,"Beautiful relaxing puzzler, challenge your color perception!"
Colorful Colore,"2,99 €0,99 €*","• Arcade, Puzle",22-01-2021,Figure your way out of colorful labyrinths in a rewarding puzzle game!
Rock 'N Racing Bundle Off Road & Grand Prix,"19,99 €*","• Arcade, Carreras, Simulación",22-01-2021,Este pack incluye los juegos: Rock 'N Racing Off Road y Grand Prix Rock 'N Racing.
Dark Sauce,"4,99 €*",• Plataformas,22-01-2021,
ADVERSE,"5,29 €*","• Acción, Arcade, Disparos (Shooter), Plataformas",22-01-2021,"ADVERSE es un juego de plataformas de disparos en primera persona con un sistema de movimiento fluido, ambientado en un universo idílico."
CATTCH,"7,00 €*","• Acción, Plataformas, Puzle",22-01-2021,
Abyss: The Wraiths of Eden,"14,99 €*","• Aventura, Puzle",22-01-2021,Sumérgete en el juego para experimentar en tu propia piel los milagros de un mundo submarino.
Dirt Bike Insanity,"7,99 €*","• Acción, Carreras, Deportes, Simulación",22-01-2021,It's a racing game that takes you into the world of motocross - Dirt Bikes.
Balancelot,"7,99 €*","• Arcade, Aventura, Plataformas, Simulación",22-01-2021,Prepárate para balancearte… MUCHO.
Cupcake Match,"7,99 €*","• Arcade, Estrategia, Puzle, Simulación",22-01-2021,"Ayuda a Joy a construir su sueño, una panadería de cupcakes."
Redout: Space Assault,"9,99 €*","• Arcade, Disparos (Shooter)",22-01-2021,HA LLEGADO LA PRÓXIMA GENERACIÓN DE JUEGOS ARCADE DE COMBATES ESPACIALES
Timothy and the Mysterious Forest,"7,99 €0,99 €*","• Aventura, Lucha, Puzle, Rol (RPG)",22-01-2021,"Timothy it’s an ""old school"" style title with some modern-age ideas. A mix of retro graphics along with meta-narrative, stealth system action combat!"
Missile Dancer,"9,99 €6,99 €*","• Acción, Arcade, Disparos (Shooter)",21-01-2021,Welcome to the dancehall! The only music here are the aircrafts soaring the skies! Make your way through the enemy lines and save us from the final war!
Unspottable,"11,99 €*","• Fiesta, Lucha",21-01-2021,Anda como un robot y golpea como un humano!
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
,,,Fecha no disponible,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
Bezier: Second Edition,"24,00 €*","• Acción, Arcade, Disparos (Shooter)",21-01-2021,"Bezier: Un bláster descerebrado, pero con un gran corazón."
Air Bounce - The Jump 'n' Run Challenge,"5,99 €*","• Acción, Aventura, Carreras, Plataformas",21-01-2021,"¡Salta o muere! AIR BOUNCE - THE JUMP 'N' RUN CHALLENGE es un trepidante juego de plataformas en primera persona en 3D, trepidante y difícil que a veces provoca rabia. ¿Estás listo para el desafío?"
Sally Face,"12,99 €*","• Aventura, Otros, Puzle",21-01-2021,A Dark Mystery is Unfolding...
Shing!,"19,99 €*","• Acción, Arcade, Lucha",21-01-2021,"Sumérgete en el sistema de combate beat 'em up más emocionante de todos los tiempos: conviértete en un ninja formidable, ¡y haz picadillo a los demonios con estilo!"
The Game is ON,"4,99 €*",• Puzle,21-01-2021,"Boris wants to learn English, but he's having problems with idioms. Solve wacky puzzles to discover hidden phrases and help him out."
Jiffy,"2,00 €*","• Acción, Arcade, Plataformas",21-01-2021,Jiffy es un plataformero de estilo retro con un gameplay rápido y lleno de acción
Chess Royal,"2,99 €*","• Educativo, Estrategia, Puzle, Tablero",21-01-2021,¡Comienza tu viaje en el mundo del ajedrez!
Bouncing Hero,"3,99 €*","• Acción, Plataformas",21-01-2021,Extreme auto-jumping action game
GRISAIA PHANTOM TRIGGER 5.5,"14,99 €*","• Aventura, Otros",21-01-2021,"Faced with the biggest decision of her life, what world will Arisaka choose to live in? Here comes Volume 5.5 of the GRISAIA PHANTOM TRIGGER series!"
EPHEMERAL -FANTASY ON DARK-,"31,99 €*",• Aventura,21-01-2021,"Ephemerally, beautiful, World in Darkness."
Loot Hero DX,"4,99 €*","• Acción, Arcade, Aventura, Rol (RPG)",21-01-2021,Lucha contra un bestiario lleno de enemigos medievales.
Frodoric The Driver,"4,99 €*","• Arcade, Carreras, Fiesta",21-01-2021,"Fun, retro style arcade game. Main goal of the game is to avoid, push off or even destroy enemy cars."
Pixel Game Maker Series The Witch and The 66 Mushrooms,"5,50 €*","• Acción, Arcade",21-01-2021,"Adventure through the vast stages and get back your brother's body, which was stolen by a witch!"
Her Love in the Force,"24,99 €*",• Aventura,21-01-2021,"Don't push on too hard. With me, you can be yourself."
Crashnauts,"12,19 €*","• Acción, Arcade, Disparos (Shooter)",21-01-2021,The hard-hitting 2D Arena Shooter finally arrives on the Nintendo Switch™!
Conarium,"19,99 €*",• Aventura,21-01-2021,"Una historia intensa de terror cósmico llena de suspense, secretos y huevos de Pascua"
Joe's Diner,"19,99 €*","• Aventura, Otros",21-01-2021,"En algún lugar de la venerable Ruta 7, en el quinto pino, se encuentra la cafetería de Joe. Trabajando en el turno de noche durante un mes, tu principal tarea será mantener las mesas limpias. Sin embargo, hay un pequeño problema."
Neoverse Trinity Edition,"19,49 €*","• Acción, Estrategia, Rol (RPG), Tablero",21-01-2021,"Neoverse es un juego sorprendente y fantástico lleno de aventuras y desafíos trepidantes. Es un juego de construcción de mazos de acción, estratégico y con elementos rogue-lite que pone a prueba la habilidad del jugador."
Pineview Drive,"19,99 €*","• Aventura, Otros",21-01-2021,"Al final de Pineview Drive se encuentra una antigua mansión abandonada. Un hombre atormentado permanece en la entrada, la mirada dirigida hacia la casa. Hace 20 años visitó esta finca con su esposa Linda."
Arcade Archives BLOCK HOLE,"6,99 €*","• Arcade, Disparos (Shooter), Puzle",21-01-2021,A new kind of puzzle shooter! Make rectangular shapes to clear blocks!
Ghostanoid,"6,99 €*","• Arcade, Puzle",21-01-2021,"El arcade más loco. Todos tienen un trabajo normal, pero nosotros tenemos casas con fantasmas."
HITMAN 3 - Cloud Version,"0,00 €*","• Acción, Disparos (Shooter)",20-01-2021,"El Agente 47 regresa en HITMAN 3, el espectacular cierre de la trilogía de Mundo del asesinato"
All Walls Must Fall - A Tech-Noir Tactics Game,"9,99 €*","• Arcade, Estrategia, Rol (RPG), Simulación",20-01-2021,"All Walls Must Fall is a Tech-Noir Tactics game set in Berlin 2089, where the Cold War never ended."
Otti: The House Keeper,"7,99 €*","• Arcade, Otros, Plataformas, Puzle",20-01-2021,"The mix of tower defense and puzzle, use traps to defend the house. Otti: house keeper is a game about defending your house from thieves and uninvited guests."
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
,,,Fecha no disponible,
Título no disponible,Precio no disponible,Categoría no disponible,Fecha no disponible,Descripción no disponible
War Truck Simulator,"7,99 €*","• Acción, Carreras, Estrategia, Simulación",19-01-2021,Get behind the wheel of a military truck for special tasks
Lost Lands: Dark Overlord (free to play),"0,00 €*","• Aventura, Puzle",19-01-2021,"¡Juega a Lost Lands: Dark Overlord, una inquietante aventura de objetos ocultos, y ayuda a Susan a buscar a su hijo! Jimmy ha sido llevado a un mundo mágico y sobrenatural y su madre parte en su búsqueda."
Little Squire's Quests,"9,90 €1,98 €*","• Acción, Arcade, Aventura, Lucha",19-01-2021,"Pull the Pins Rescue Princess, Kill Enemy, Collect Treasure Chests"
Shinobi Blade,"9,99 €1,99 €*","• Acción, Arcade, Aventura, Lucha",19-01-2021,Silent Agile Smart Demon Slayer
Epitaph,"10,29 €*","• Estrategia, Puzle",19-01-2021,The Tactical Battler where Death is a Strategy!
International Table Tennis,"4,99 €*","• Deportes, Simulación",18-01-2021,Desafía a muchos oponentes de niveles de IA en esta simulación de tenis de mesa y... ¡gana el Torneo International !
Spinny's Journey,"11,99 €*","• Acción, Arcade, Aventura, Puzle",18-01-2021,"Spinny's Journey es un juego de acción/rompecabezas en 2D. Ayuda a Spinny, un explorador alienígena, a navegar por laberintos, esquivar trampas y reparar su nave."
Red Colony,"6,99 €*","• Acción, Aventura, Disparos (Shooter)",18-01-2021,"El objetivo de la Colonia Roja era salvar a la humanidad, no provocar su fin…"
Dadish 2,"9,00 €*","• Acción, Arcade, Aventura, Plataformas",18-01-2021,"Es padre y un rábano, ¡y ha vuelto a su mayor aventura hasta ahora!"
Dungeon Nightmares 1+2 Collection,"13,99 €*","• Acción, Acción en primera persona (FPS), Arcade, Aventura",18-01-2021,Dungeon Nightmares 1+2 Collection is a first-person psychological horror series that takes you through a journey of discovering what nightmares are.
Danger Gazers,"8,99 €*","• Acción, Disparos (Shooter)",18-01-2021,Danger Gazers is a post-apocalyptic roguelite top-down shooter where you pave your own path. The choices you make will decide your fate!
Clay Skeet Shooting,"3,99 €*","• Arcade, Disparos (Shooter)",17-01-2021,"Como competición oficial de los Juegos Olímpicos, el tiro al plato es un deporte real que requiere talento, capacidad de concentración y destreza. El Tiro al plato es la simulación móvil más efectiva de este deporte."
Curling,"5,99 €*","• Deportes, Simulación",15-01-2021,"Tanto si eres fan de Curling como si quieres descubrir un nuevo juego de deporte, disfrutarás jugando a Curling en su versión para un solo jugador o en su versión multijugador local."
My Magic Florist,"6,99 €0,99 €*","• Arcade, Estrategia, Puzle, Simulación",15-01-2021,¡La magia es la clave del éxito en esta floristería!
16-Bit Soccer,"3,99 €*","• Arcade, Deportes",15-01-2021,"¿Te encantan aquellos juegos de fútbol de consolas y ordenadores de los 90? Si quieres revivir esos momentos de acción trepidante con geniales gráficos pixelados, ¡16-Bit Soccer es justo lo que andabas buscando!"
Solar Blast,"4,99 €*","• Acción, Arcade, Aventura, Plataformas",15-01-2021,Defend the sun!
